number,bike_stands,available_bike_stands,available_bikes,last_update,fetched_at,temperature_2m,apparent_temperature,precipitation,wind_speed_10m,is_day
18,20,10,10,2024-03-28 16:49:18,2024-03-28 16:51:11.923631,12.3,10.9,1.3,4.4,1
18,20,8,12,2024-03-28 17:09:29,2024-03-28 17:16:17.561143,11.4,9.4,0.3,9.3,1
18,20,6,14,2024-03-28 18:14:15,2024-03-28 18:20:15.201710,11.1,9.9,1.5,5.1,0
